PROVEEDOR,NUMERODELICITACION,TIPODECOMPRA,NUMERO DE CONTRATO,CODIGOSSA,CLAVEARTICULO,NOMBREMEDICAMENTO,UNIDADDEMEDIDA,MARCA,LABORATORIO,PRECIOUNITARIOCONDESCUENTO,SURTIDO
"MAYPO, S.A. DE C.V.",LA-050GIR047-E71-2018,CONSOLIDADA,DA-SRM-LPN008/2019,010.000.5107.00,02-01-0787,"ALTEPLASA, 50 MG 10,000 UI  ",JERINGA PRELLENADA,ACTILYSE,"BOEHRINGER INGELHEIM MEXICO, S.A. DE C.V.","$4,239.24",4
,,CONSOLIDADA,,040.000.2098.00,02-02-0098,"BUPRENORFINA TRANSDERMICA, 20 MG",PARCHE,,,,28
,,CONSOLIDADA,,040.000.2097.00,02-02-0097,"BUPRENORFINA TRANSDERMICA, 30 MG",PARCHE,,,,28
"COMERCIALIZADORA DE PRODUCTOS INSTITUCIONALES, S.A. DE C.V. ",LA-050GIR047-E44-2018,CONSOLIDADA,DA-SRM-LPN001/2019,"010.000.1541.00
010.000.1541.01
010.000.1541.02",02-01-0694,"CARBETOCINA, 100 MCG/ML",ÁMPULA,,,$331.01,148
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-050GIR047-E44-2018,CONSOLIDADA,DA-SRM-LPN003/2019,"010.000.0247.00
010.000.0247.01
010.000.0247.02",02-01-0607,"DEXMEDETOMIDINA, 200 MCG/2 ML",FRASCO ÁMPULA,,,$48.97,2476
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-050GIR047-E44-2018,CONSOLIDADA,DA-SRM-LPN003/2019,"010.000.4242.00
010.000.4242.01",02-01-0414,"ENOXAPARINA, 20 MG/2 ML",JERINGA PRELLENADA,,,$40.60,326
"GRUPO FÁRMACOS ESPECIALIZADOS, S..A DE CV",LA-050GIR047-E45-2018,CONSOLIDADA,DA-SRM-LPN005/2019,"010.000.2154.00
010.000.2154.01",02-01-0511,"ENOXAPARINA, 40 MG/2 ML",JERINGA PRELLENADA,CLEXANE,"SANOFI AVENTIS WINTHROP, S.A. DE C.V.",$42.10,3284
"GRUPO FÁRMACOS ESPECIALIZADOS, S..A DE CV",LA-050GIR047-E45-2018,CONSOLIDADA,DA-SRM-LPN005/2019,"010.000.4224.00
010.000.4224.01",02-01-0605,"ENOXAPARINA, 60 MG/2 ML",JERINGA PRELLENADA,"BOLENTAX,DENEPAR","PISA, ",$56.15,1932
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-050GIR047-E64-2018,CONSOLIDADA,DA-SRM-LPN011/2019,010.000.5332.00,02-01-0750,ERITROPOYETINA HUMANA RECOMBINANTE 2000 UI  1 ML,FRASCO ÁMPULA,,,$260.00,5
"MAYPO, S.A. DE C.V.",LA-050GIR047-E71-2018,CONSOLIDADA,DA-SRM-LPN008/2019,"010.000.4148.00
010.000.4148.01",02-01-0712,"INSULINA LISPRO RECOMBINANTE, PROTAMINA 25/75  ",FRASCO ÁMPULA,HUMALOG MIX,LILLY,$280.23,1
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-050GIR047-E45-2018,CONSOLIDADA,DA-SRM-LPN004/2019,"010.000.5097.00
010.000.5097.01",02-01-0675,"LEVOSIMENDAN, 2.5 MG/ML",FRASCO ÁMPULA,,,,14
"DISTRIBUIDORA INTERNACIONAL DE MEDICAMENTOS Y EQUIPO MÉDICO, S.A. DE C.V.",LA-050GIR047-E44-2018,CONSOLIDADA,DA-SRM-LPN003/2019,010.000.5100.01,02-01-0609,"MILRINONA, 10 MG/10 ML",FRASCO ÁMPULA,,,"$2,838.79",35
